id,name,information
3587,جلال ستاری,جلال ستاری (زاده ۱۳۱۰ رشت) محقق، اسطوره‌شناس و اندیشمند ایرانی است. او در سوئیس تحصیل کرد و دکترا گرفت. یکی از استادان معروف او ژان پیاژه بود. او به مانند کارل گوستاو یونگ سوئیسی در رشته روانشناسی تحصیل کرد و مانند او دغدغه‌ای فراتر از روانشناسی فردی داشت و تمرکز خود را بر روانشناسی جمعی و شناخت تأثیر مثبت یا منفی کهن الگوها و اسطوره‌ها و افسانه‌ها در ناخودآگاه جمعی معطوف کرد.ستاری بالغ بر ۹۰ جلد کتاب در زمینه‌های افسانه‌شناسی، ادبیات نمایشی و نقد فرهنگی در طی بیش از ۶۰ سال به رشتهٔ تحریر درآورده یا ترجمه کرده‌است. این کتاب‌ها بعضاً از کتاب‌های مرجع و شاخص در زمینه‌های تخصصی خود هستند. او نشان معتبر لژیون دونور فرانسه را دریافت کرده‌است.
52172,مجتبی تقوی,مجتبی تقوی (زاده ۱۳ اسفند ۱۳۴۶ - آبادان) بازیکن سابق و مربی فوتبال اهل ایران است. وی دوران بازیگری خود را در باشگاه فوتبال سایپا گذراند و سپس به عنوان سرمربی کار خود را در تیم‌های صنعت نفت آبادان، عقاب، سایپا شمال، سایپا البرز و ذوب‌آهن اصفهان ادامه داد.
28889,سهند ستاری,
5308,لیلا کاشانی وحید,لیلا کاشانی وحید متولد سال 1354، دارای دکترای تخصصی روانشناسی و آموزش کودکان استثنایی دانشگاه تهران سال 1393، کارشناسی ارشد روانشناسی تربیتی دانشگاه کالیفرنیای جنوبی و کارشناسی اقتصاد با ماینر روانشناسی دانشگاه ایالتی کالیفرنیا می باشد.
5941,فارس باقری,فارس باقری نمایشنامه‌نویس، کارگردان و نویسنده است. او برگزیده دو دوره ادبیات نمایشی سال ایران برای نمایش «پروانه بر ناقوس» و« باشب »، برگزیده جشنواره تئاتر فجر برای نگارش نمایش « پروانه بر ناقوس»، برگزیده داستان‌نویسی و دریافت قلم زرین و کاندیدای جایزه داستان‌نویسی گلشیری شده است.
21664,حسین اسماعیلی,حسین اسماعیلی متولد سال 1323، نویسنده ایرانی است.
14649,نیلوفر اکبری,
5066,عبدالوهاب احمدی,
818,رامین رامبد,رامین رامبد مترجم ایرانی متولد سال 1345 می باشد.
8749,محمدجواد کمالی,
35003,مهرنوش بهمئی,
50245,جواد وحیدی,جواد وحیدی ، متولد 1348 ، عضو هیئت علمی دانشگاه علم وصنعت است. او دارای مدرک لیسانس ریاضی – دانشگاه گیلان ، فوق لیسانس ریاضی کاربردی با گرایش کنترل بهینه –دانشگاه فردوسی مشهد و دکتری ریاضی با گرایش آنالیز غیرخطی کاربردی – دانشگاه مازندران است
51242,محمد رحیمی,مهندس محمد رحیمی متولد ۱۳۷۲‏‏‏‏‏‏‏‏‏‏ است.
6375,آنا مارچینوفسکا,
8267,نیما فرحی,
3543,اکرم کرمی,اکرم کرمی متولد سال 1341، نویسنده و مترجم ایرانی می باشد.
1011,علی صاحبی (۱۳۴۳),دکتر علی صاحبی به سال 1343 در گرگان متولد شد. دورۀ کارشناسی و کارشناسی ارشد خود را در دانشگاه تهران گذراند. در سال 1375 در رشتۀ روان شناسی بالینی از دانشگاه نیوساوت ولز سیدنی درجه دکتری گرفت و در 1377 به دریافت درجۀ فوق دکترا در اختلالات وسواس از کلینیک اختلالات اضطرابی دانشگاه سیدنی نایل آمد.دوره های رسمی «شناخت درمانی» را زیر نظر آلبرت آلیس گذراند و گواهی رسمی «طرح واره درمانی» را از جفری یانگ گرفت.مدت هشت سال به عنوان استاد روان شناسی بالینی در دانشگاه فردوسی مشهد فعالیت کرد.در سال 2006 به جنبش روان شناسی مثبت نگر تئوری انتخاب و موسسة واقعیت درمانی ویلیام گلسر پیوست. اکنون به عنوان مربی ارشد و عضو هیئت علمی موسسه فعالیت می نماید.در سال 2008 با دریافت مجوز رسمی از دکتر ویلیام گلسر، مرکز آموزش واقعیت درمانی ایران را بنیانگذاری کرد.از ایشان تا کنون چهل جلد کتاب و چهارده cd آموزشی و چندینDVD صوتی/ تصویری و بیش از 35 مقاله در مجلات علمی و پژوهشی منتشر شده است.دکتر ویلیام گلسر در سال 1967 برای آموزش ایده های خود موسسه ای را در لس آنجلس بنیان گذارد. از آن پس تاکنون تئوری انتخاب و کاربست های عملی آن در مشاوره، درمان و مدیریت راهبرانه نیروی انسانی و سازمان ها را در کشورهای مختلف آموزش داده است.
7694,پارسا بامشادی,پارسا بامشادی متولد سال 1363 نویسنده ایرانی می باشد.
7535,اشکان صالحی,
10537,سحر امین,
660,مهدی قراچه داغی,مهدی قراچه داغی متولد ۱۲ آبان ۱۳۲۶ در کاشان مترجم کتاب های روان شناسی، تربیت کودک و نوجوان، کسب وکار، اقتصاد و رمان است. وی از سال ۱۳۵۱ ترجمه کتاب را آغاز کرده است و تا زمان نگارش این مقاله، ۵۱۰ عنوان کتاب را ترجمه کرده است، که از میان آن ها بیش از ۳۵۰ عنوان در حوزه روان شناسی بوده است.تحصیلات پیش از دانشگاه را در شهرهای کاشان (۹ سال)، یزد (۲ سال) و تهران (۱ سال) گذراند و دیپلم ریاضی را اخذ کرد. در سال ۱۳۴۴ لیسانس اقتصاد را از دانشگاه ملی ایران (دانشگاه شهید بهشتی فعلی) به پایان رساند. وی مدتی برای ادامه تحصیل به انگلستان رفت که آن را ناتمام گذاشت و پس از بازگشت به ایران در رشته اقتصاد عمومی با گرایش «اقتصاد و حمل و نقل هوایی» از دانشگاه ملی ایران (دانشگاه شهید بهشتی فعلی) فارغ التحصیل شد و هم زمان در سازمان هواپیمایی کشوری به عنوان اولین مدرس ایرانی مشغول به کار شد و به تدریس «خدمات فرودگاهی و خدمات زمینی» پرداخت. ضمنا او خواهر زاده سهراب سپهری شاعر و نقاش شهیر است.مهدی قراچه داغی علاوه بر فعالیت مسابقه ای در ورزشی دو و میدانی در دوران دانشجویی، در فاصله سال های ۱۳۸۲ تا ۱۳۸۵ دبیر فدراسیون دو و میدانی جمهوری اسلامی ایران، و در مقطعی در سال ۱۳۸۵ سرپرست تیم ملی دو و میدانی جوانان ایران بوده است.وی کتابی با عنوان «دو و میدانی: پرش ها و پرتاب ها» نوشته بابی کانلن مور و ویلیام جی بوئرمن را ترجمه کرده است.
37922,نگین رمضانی,
378,قاسم صنعوی,قاسم صنعوی در ۴ آذر ۱۳۱۶ در مشهد زاده شد. در ۱۳۴۰، در رشتهٔ زبان و ادبیات فرانسه از دانشکدهٔ ادبیات دانشگاه فردوسی مشهد به کسب لیسانس نایل آمد. سپس در دانشگاه تهران به تحصیل در رشتهٔ حقوق قضایی مبادرت ورزید و دومین لیسانس خود را در این رشته اخذ کرد. او به رغم اشتغال در دادگستری، از رشتهٔ حقوق دل برکند و به کارهای فرهنگی روی آورد؛ از جمله سرپرست کتابخانهٔ وزارت دادگستری، کارشناس روابط فرهنگی، معاون ادارهٔ کل رایزنیها و نمایندگیهای فرهنگی در خارج، مدیرکل همکاریهای فرهنگی و هنری و مدیرکل روابط بین الملل وزارت فرهنگ و هنر. صنعوی چند سالی نیز سردبیر مجلهٔ سخن و مدیر مسئول ماهنامهٔ رودکی (نشریهٔ فرهنگی و هنری وزارت فرهنگ و هنر) بود. در شهریور ۱۳۵۸، پس از بازنشستگی از تهران به مشهد بازگشت و گوشه نشینی اختیار کرد و زندگی خود را وقف ترجمهٔ آثار ادبی مورد علاقه از زبان فرانسه نمود. شهرت او بیش از همه مدیون ترجمهٔ کتاب خاطرات و جنس دوم از سیمون دو بوار، نویسندهٔ فمنیست فرانسه است.از جمله جوایز او جایزه ترجمه برگزیده ادبیات نمایشی برای ترجمه «نیکومد» اثر پیر کورنی است.صنعوی ترجمه بیش از صداثر ادبی و تاریخی را در کارنامهٔ خود دارد. رعایت امانت و سعی در انتقال بی کم و کاست کلام نویسنده در روش ترجمه اش کاملا مشهود است.
25114,حسین مسنن فارسی,حسین مسنن فارسی مترجم ایرانی متولد سال 1362 می باشد.
25423,سمیه کاظمیان,من دکتر سمیه کاظمیان هستم، استادیار دانشگاه علامه طباطبائی. قابل ذکر می باشد که تحصیلات خود را در رشته ی مشاوره و در دو مقطع کارشناسی ارشد و دکترا (دانشگاه علامه طباطبائی) تکمیل کرده ام. از جمله فعالیت هایم در عرصه ی امور پژوهشی اشاره ی مختصری می کنم به تألیف و ترجمه ی چند جلد کتاب با عناوین “توانبخشی و مشاوره خانواده” (تألیف، ۱۳۹۵) و “داستان گویی، راهکارهای نوین در درمان اختلال وسواس فکری_عملی” (ترجمه، ۱۳۹۴)، چاپ مقاله در ژورنال های داخلی و خارجی نظیر “پیش بینی تحمل پریشانی براساس مولفه های ارتباطی خانواده مبدا در زنان مطلقه و غیر مطلقه” چاپ شده در مجله زن و جامعه (۱۳۹۵) و همچنین سخنرانی و ارائه ی مقاله در همایش های ملی و بین المللی از قبیل “ضرورت توجه به فرهنگ بومی در نقد و به کارگیری دیدگاه های مشاوره” ارائه شده در همایش انجمن مشاوره ایران و…
14441,مهرداد تویسرکانی,مهرداد تویسرکانی(متولد ۲۴ مرداد ۱۳۴۴ در شهر تهران) یکی از مترجمین سرشناس ادبیات ژانری و ادبیات کودک و نوجوان است که ترجمه‌های روان او از آثار نویسندگان ژانری‌ای همچون رابرت شکلی، الفرد بستر، جان کریستوفر و دیمون نایت، همگی موید علاقه‌ی عمیق او به ادبیات گمانه‌زن‌اند. تویسرکانی به عنوان یک پژوهشگر هنر، همیشه از جدی گرفتن فرآورده‌های هنری علمی‌تخیلی صحبت کرده(نگاه کنید به مقالات: درآمدی بر سیر تحول داستانهای آرمان شهری – زمانشهرها و داستانهای زمانشهری – مرگ یا دگردیسی – گذری بر تاریخچه تخیل علمی در ادبیات فارسی کودک و نوجوان) ولی هرگز هم از اظهار علاقه‌ی گیک‌مندانه‌ی خودش نسبت به اپراهای فضایی ابا نداشته:
2231,عادل مشایخی,عادل مشایخی متولد سال ۱۳۵۱در تهران و فارغ التحصیل مقطع کارشناسی ارشد رشته ی فلسفه از دانشگاه شهید بهشتی است.
3090,سعید قدوسی نژاد,
3260,ابوالفضل حقیری قزوینی,
34974,امیر علم بیگی,
3126,فاطمه جوادی,
48144,فاطمه محمودنژاد,فاطمه محمودنژاد متولد 1360 است.
8325,علی اصغر حلبی,دكتر «على‌اصغر حلبى » از محققان، مؤلفان و مترجمان پركار و كوشاى معاصر است. وى فرزند على‌اكبر است و در سال 1323 در اردبيل متولد شد. تحصيلات ابتدايى و متوسطه را همراه با مقدمات عربیت و فقه و اصول و منطق و فلسفه در مدارس قديم همان شهر پيش استادان فراگرفت. او داراى ليسانس فلسفه از دانشگاه تهران است، سپس چند سال براى ادامه‌ى تحصيلات عالى به دانشگاه ادينبوره [ادينبورگ] در اسكاتلند، سفر كرد و در سال 1359 از همان دانشگاه، درجه‌ى دكتراى فلسفه و فرهنگ اسلامى گرفت.
3067,میثم محمدامینی,
228,کیومرث پارسای,کیومرث پارسای متولد ۱۳۲۵ و نویسنده و مترجم در رشته زبان های خارجی گرایش ترجمه تحصیل کرده است وی به زبان های انگلیسی، فرانسوی و اسپانیایی تسلط دارد.داستان های «مارکز» توسط مترجمان زیادی به زبان فارسی ترجمه شده است. یکی از این مترجم ها، «کیومرث پارسای» متولد ۱۳۲۵ تهران است. وی آثاری مثل «طوفان برگ»، «پاییز پدرسالار»، «صد سال تنهایی»، «عشق سالهای وبا»، «ساعت نحس»، «وقایع نگاری یک مرگ از پیش اعلام شده»، «سرگذشت یک غریق»، «ژنرال در هزار توی خویش» و آثار بسیاری از نویسندگان دیگر را ترجمه کرده است.
4960,جمیل آریایی,
5144,نیلوفر رحمانیان,
4927,جلال الدین مجتبوی,سید جلال‌الدین مجتبوی به سال ۱۳۰۷ در تهران متولد شد. پس از طی تحصیلات ابتدایی و متوسطه در ۱۳۳۰ در رشتهٔ فلسفه و علوم تربیتی دانشگاه تهران پذیرفته شد. سپس در ۱۳۳۷ دورهٔ فوق‌لیسانس و دکتری را که آن زمان پیوسته بود آغاز نمود و در ۱۳۴۶ با دفاع از پایان‌نامه خویش با عنوان «خدا در فلسفهٔ ارسطو و ابن سینا» موفق به اخذ درجهٔ دکتری فلسفه از دانشگاه تهران گردید. او در طول مدت تحصیل در دانشگاه تهران، از درس اساتیدی همچون محمدحسین فاضل تونی، محمدکاظم عصار، عیسی صدیق و یحیی مهدوی استفاده کرد و پس از مدتی به عنوان استاد در دانشگاه تهران شروع به تدریس نمود. وی هم‌زمان با تدریس به مدت ۹ سال ریاست دانشکدهٔ ادبیات و علوم انسانی را عهده‌دار بود در این مدت کنگره‌های اقبال لاهوری، بزرگ‌داشت فردوسی و کنگرهٔ جغرافیا برگزار گردید. او در ۱۳۶۸ به دریافت درجهٔ استادی ممتاز نائل گشت و تا پایان عمر به تدریس و تربیت دانشجویان اشتغال داشت. او در هشتم مرداد ۱۳۷۸ بر اثر بیماری درگذشت و در بهشت زهرا به خاک سپرده شد.
66553,سیستانا محمودی,
6874,نجمه فرشی,
752,اصغر اندرودی,
4513,مریم وتر,مریم وتر مترجم ایرانی می باشد.
10054,احمد عظیمی بلوریان,دکتر احمد عظیمی بلوریان متولد 1314 در شهر مشهد، در سال 1396 خاطراتش را در قالب کتابی با عنوان «هشتاد سال تکاپو: گام به گام همراه با دگرگونی‌های اجتماعی و سیاسی ایران از دهه دوم 1300 تا کنون» توسط نشر مؤسسه خدمات فرهنگی رسا منتشر کرد. او که در رشته شهرسازی و عمران از دانشگاه واشنگتن امریکا مدرک دکترا گرفته است، سال‌های تدریس در امریکا و ایران را در کارنامه خود دارد و آثار متعددی را در زمینه دانش تخصصی‌اش ترجمه کرده و انتشار داده است.
51188,سید حسن صدوق,سید حسن صدوق متولد سال (۱۳۲۷) در اردستان، استان اصفهان، استاد رشته ژئومورفولوژی، دانشکده علوم زمین دانشگاه شهید بهشتی و رئیس این دانشگاه از خرداد ۱۳۹۶ تا ۱۱ شهریور ۱۳۹۸ می باشد. در ۲ بهمن (۱۳۹۵) طی حکمی از سوی محمد فرهادی وزیر وقت علوم، تحقیقات و فناوری به عنوان سرپرست دانشگاه شهید بهشتی منصوب شد.وی مدرک کارشناسی خود را در رشته جغرافیای طبیعی از دانشگاه تهران اخذ کرد و مدارک کارشناسی ارشد و دکترا در رشته ژئومورفولوژی را از پردیس دانشگاهی ژوسیو در فرانسه اخذ کرد.ایشان در سال ۱۳۴۸ با کسب رتبهٔ ممتاز در آزمون سراسری، به دانشگاه تهران راه یافت و در دورهٔ کارشناسی رشتهٔ جغرافیای طبیعی مشغول به تحصیل شد. در سال دوم دانشگاه به دلیل فعالیت در انجمن اسلامی دانشجویان دانشگاه تهران و مبارزه علیه رژیم پهلوی، تحت نظر قرار گرفت و سپس توسط ساواک دستگیر و حدود شش ماه در زندان قزل‌قلعه در حبس بود. در این مدت بازجویی و شکنجه‌های طاقت‌فرسایی را متحمل شد و حدود دو ماه از شش ماه حبس خود را در سلول انفرادی به سر برد. پس از آزاد شدن از زندان، اجازه یافت تحصیلات دانشگاهی خود را در دورهٔ کارشناسی ادامه دهد.پس از دانش‌آموختگی، در حالی‌که برای شروع دورهٔ سربازی تصمیم گرفته بود، مجدداً توسط ساواک دستگیر و مدتی در بند زندانیان سیاسی زندان اوین محبوس شد و مدت کوتاهی پس از آزادی، برای سومین بار دستگیر و این بار در زندان کمیتهٔ مشترک ضدخرابکاری، که اکنون به موزهٔ عبرت تبدیل شده‌است، زندانی گردید. در زندان قزل‌قلعه، آشنایی و ارتباط قبلی ایشان با هاشمی رفسنجانی ژرف‌تر گردید و فضای حاکم بر زندان موجب شد اعتقاد وی به ارزش‌های انقلابی و آرمان‌های امام خمینی پویاتر و عمیق‌تر شود.در طی دورهٔ سربازی، به دلیل سوابق مبارزات سیاسی، هرگز اجازهٔ پوشیدن لباس افسری (ستوان دومی) به ایشان داده نشد، به همین دلیل، او را از دریافت حقوق ناچیز دورهٔ سربازی نیز محروم کردند.با پایان یافتن دورهٔ سربازی، با توجه به اینکه تحت نظر ساواک بود و بازداشت‌های مکرر عملاً امکان ادامهٔ تحصیل در ایران را از وی سلب کرده بود، تصمیم به ادامهٔ تحصیل در فرانسه گرفت. با بیم اینکه از طریق مرز هوایی دوباره دستگیر خواهد شد، به‌صورت زمینی از طریق کشور ترکیه خود را به پاریس رساند. وی در دورهٔ کارشناسی ارشد رشتهٔ ژئومورفولوژی دانشگاه پاریس  (ژوسیو) ثبت‌نام کرد و پس از پایان این دوره، در دورهٔ دکترای همین رشته در دانشگاه پاریس  و سوربن مشغول به تحصیل شد.در سال ۱۳۵۶ فضای انقلابی در کشور حاکم و قوی‌تر می‌شد و رحلت حاج‌آقا مصطفی خمینی (رحمت‌الله علیه) در نجف فضای انقلابی را در داخل کشور شعله‌ورتر می‌کرد و در خارج از کشور نیز دانشجویان انقلابی تحرک بیشتری یافتند.در همین دوران بود که امام خمینی  از نجف به پاریس عزیمت کردند و پس از چند روز اقامت در شهر پاریس، در نوفل‌لوشاتو که محلی در نزدیکی شهر ورسای و در حومهٔ شهر پاریس بود اقامت کردند.با حضور امام در نوفل‌لوشاتو، صدوق که از فعالان انجمن اسلامی دانشجویان شهر پاریس بود، دیگر سر از پا نمی‌شناخت و به همراه دیگر اعضای انجمن اسلامی روز و شب در نوفل‌لوشاتو، در خدمت امام افتخار حضور داشت. در آن دوران، میهمانان از ایران و شهرها و کشورهای مختلف برای دیدار با امام  به نوفل‌لوشاتو می‌آمدند.پیش از عزیمت امام به پاریس، لوسین جورج، مخبر روزنامهٔ لوموند، با امام  به تفصیل مصاحبه کرد که در صفحهٔ اول روزنامهٔ لوموند آن زمان به چاپ رسید. صدوق بعدازظهر روز انتشار این مصاحبه، به ترجمهٔ مصاحبه‌ای که به نظر ایشان دارای مضامین عالی سیاسی بود و افق آیندهٔ انقلاب اسلامی را توسط امام  به‌خوبی ترسیم می‌کرد پرداخت و تا اذان صبح ترجمهٔ آن را به پایان رساند. برگرداندن فارسی این مصاحبه در فردای آن روز به‌طور گسترده میان دانشجویان و محافل سیاسی ایران توزیع شد.صدوق در دوره‌ای که  امام در پاریس حضور داشتند، هرگز از ایشان جدا نشد و در آخرین شب اقامت  امام در پاریس، قبل از ورود تاریخی امام به ایران، به همراه جمع کثیری از دانشجویان انقلابی،  امام و همراهان را در فرودگاه شارل‌دوگول پاریس بدرقه کرد.هم‌زمان با پیروزی انقلاب اسلامی، به همراه شماری از دانشجویان انجمن اسلامی، سفارت شاهنشاهی ایران در پاریس را تحویل گرفتند و تا پایان دورهٔ دانشجویی، به‌عنوان مشاور سیاسی کاردار در سفارت جمهوری اسلامی ایران فعالیت داشت.
2430,مسعود علیا,مسعود علیا (متولد ۱۳۵۴) مترجم و پژوهشگر ایرانی حوزهٔ فلسفه و استادیار گروه فلسفه هنر دانشگاه هنر است.کتاب «جنبش پدیدارشناسی» با ترجمه او برنده جایزه کتاب سال شد.او دوره کارشناسی زبان و ادبیات فارسی را در دانشگاه تهران و دوره کارشناسی ارشد فلسفه را در دانشگاه شهید بهشتی گذراند. او درباره گستره راز و تقلیل آن به مساله در فلسفه گابریل مارسل کار تحقیقاتی کرده است. اصالت تجربه و دگرگونی در منابع مابعدالطبیعه در فلسفه گابریل مارسل از دیگر موضوع های مورد تحقیق او بوده است. او در تیرماه ۱۳۸۷، دوره دکتری فلسفه را با نگارش رساله ای تحت عنوان «شرط امکان اخلاق در اندیشه لویناس» به راهنمایی عبدالکریم رشیدیان در موسسه حکمت و فلسفه به پایان برد.
9504,گیله گل بهروزان,
46062,سحر دولتشاهی,سحر دولتشاهی متولد ۱۳۵۶ در تهران و فارغ التحصیل رشته ى حقوق است . او کار ترجمه ( انگلیسی و اسپانیایی ) را از سال ۱۳۸۰ آغاز کرد و در ادامه ، در سال ۱۳۹۱ ، از اولیـن شماره ی مجله ی نشنال جئوگرافیک فارسی ( گیتانما )،عضو تيم ترجمه ى اين مجله بود و بعد از آن نیز موفق به ترجمه ی کتاب و مقالات مختلف شد. « این ، کار من است » ، « عبور از دیوارها ، مارينا آبراموویچ » ، « شاهزادهی پاپ ، اندی وارهول » و « دغلباز دنیای هنر ، ماوریتزيو كاتلان » از ترجمه های اوست. سحر دولتشاهی در حال حاضر در فرانسه زندگی میکند و مشغول به ترجمه ، تألیف و تحقیق در حوزه های هنر و ادبیات است.
1027,محمدرضا آل یاسین,محمدرضا آل یاسین متولد سال 1328، نویسنده و مترجم ایرانی است.
44544,گامایون,
22156,علی پریشانی,علی پریشانی مترجم ایرانی متولد سال 1369 می باشد.
28000,فرهاد دشتکی نیا,فرهاد دشتکی نیا متولد سال 1362، عضو هیأت علمی دانشکده ادبیات و علوم انسانی دانشگاه شهید باهنر کرمان می باشد.
3274,مجموعه ی نویسندگان,
44117,کیوان فیض اللهی,
15894,علیرضا طهماسب,
2920,فروغ مهرزاد,
257,مهشید میرمعزی,مهشید میرمعزی اول شهریور ۱۳۴۱ در قزوین به دنیا آمد و تحصیلات مقدماتی اش را در همین شهر گذراند. او سال ۱۳۶۴ به ٱلمان رفت و در دانشگاه شهر اسن در رشته مهندسی فضای سبز تحصیل کرد.او سال 1372 به ایران بازگشت.اولین کتاب اش در سال 1377 منتشر شد. از میرمعزی تاکنون 25 کتاب منتشر شده است   منبع : cheshmeh.ir
34275,سید محمدعلی بهروزی,
27000,نیلوفر صادقی,
10146,فرنوش اولاد,
3031,یاسین قاسمی بجد,یاسین قاسمی بجد (زادهٔ 21 دی 1367) نویسنده، شاعر و مترجم، متولد زاهدان است. از وی بیش از 40 عنوان کتاب در زمینه های سیاسی، مذهبی و اجتماعی و همچنین یک مجموعه شعر به چاپ رسیده است. همچنین وی برنده کتاب سال دانشجویی دانشگاه تهران شده است.
2756,سیما فرجی,
22563,ترانه بهبهانی,
2775,احمد روستا,دکتر احمد روستا ملقب به پدر بازاریابی نوین در ایران در سال ۱۳۲۷ و در شهر یزد دیده به جهان گشود. ایشان مدرک دکترای مدیریت خود را از دانشگاه برادفورد انگلستان در سال ۱۹۷۹ میلادی اخذ نمود و در حال حاضر عضو رسمی هیئت علمی دانشگاه شهید بهشتی؛ دانشکده مدیریت و حسابداری می باشد. دکتر روستا دارای ۴۰ سال سابقه تدریس، تحقیق و مشاوره در امور مدیریت، بازاریابی، صادرات، تبلیغات و مدیریت استراتژیک و دارای مقالات و کتاب های تالیفی متعددی است.
11572,محمدرضا ابراهیمی,
16087,پری منصوری,
31341,الهام نوجوان,الهام نوجوان متولد سال 1351، نویسنده و مترجم ایرانی می باشد.
7024,مرتضی عابدینی فرد,
5930,محمد آقاجری,
4502,بامداد صالحی,بامداد صالحی متولد سال 1359 شاعر، نویسنده، مترجم، آهنگساز، و خوانندۀ ایرانی است.
25141,پیام مقیم اسلام,
12989,گلناز ملک,
1026,مهسار مشتاق,مهسار مشتاق مترجم ایرانی متولد سال 1363 می باشد.
17037,سعید زرگریان,
14961,محمود تفضلی,
30081,فرشاد مشفقی,
31420,بنفشه رسولیان,بنفشه رسولیان کارشناس ارشد ادبیات کودک ونوجوان از فعالان فرهنگی با۲۷سابقه تدریس در آموزش وپرورش ومدیر مسئول انتشارات حوض نقاشی می باشد و دارای ۲۵۰ عنوان تالیف ملی درحوزه کودک و نوجوان و 5عنوان بین المللی است. رسولیان عضو هیئت تالیف کتاب درسی دوره پیش دبستانی دوزبانه،عضو هیئت تالیف کتب درسی ادبیات عامیانه و عضو ثابت انجمن نویسندگان کودک ونوجوان کشور نیز است.
53266,امیرحسین میرزائیان,
17281,مریم محمدخواه,
26423,محمد عمار مفید,
4026,مریم سپهری,
4025,مهین کاظمی,
2461,الهام دارچینیان,
7963,نازنین عرب,
350,ناصر زاهدی,ناصر زاهدی (متولد 30 اردیبهشت 1340 در قم) دارای مدرک پزشکی از کشور آلمان، نویسنده،مترجم و عکاس ایرانی است.
8031,پیمان چهرازی,
5736,مهناز ایلدرمی,
19935,آزاده جعفری,آزاده جعفری متولد سال 1357، نویسنده و مترجم ایرانی می باشد.
4459,اسماعیل سعادت,
27357,حمیدرضا گرشاسبی,
